PLAYER_LAST_NAME,PLAYER_FIRST_NAME,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,ROSTER_STATUS,PTS,REB,AST,FROM_YEAR,TO_YEAR
Pasecniks,Anzejs,Washington,Wizards,WAS,C-F,"7'2""",229 lbs, ,Latvia,2017.0,1.0,25.0,,0.0,1.0,1.0,2019,2020
Patterson,Patrick,LA,Clippers,LAC,F,"6'8""",235 lbs,Kentucky,USA,2010.0,1.0,14.0,1.0,4.5,2.2,0.5,2010,2020
Patton,Justin,Houston,Rockets,HOU,C,"6'11""",241 lbs,Creighton,USA,2017.0,1.0,16.0,1.0,6.8,4.4,0.9,2017,2020
Paul,Chris,Phoenix,Suns,PHX,G,"6'0""",175 lbs,Wake Forest,USA,2005.0,1.0,4.0,1.0,15.8,4.7,8.8,2005,2020
Payne,Cameron,Phoenix,Suns,PHX,G,"6'1""",183 lbs,Murray State,USA,2015.0,1.0,14.0,1.0,7.0,1.9,3.6,2015,2020
Payton,Elfrid,New York,Knicks,NYK,G,"6'3""",195 lbs,Louisana-Lafayette,USA,2014.0,1.0,10.0,1.0,12.6,3.8,3.7,2014,2020
Pelle,Norvel,Philadelphia,76ers,PHI,F,"6'10""",231 lbs,Iona,USA,,,,,2.3,2.0,0.3,2019,2020
Perry,Reggie,Brooklyn,Nets,BKN,F-C,"6'8""",250 lbs,Mississippi State,USA,2020.0,2.0,57.0,1.0,3.6,3.6,0.9,2020,2020
Pinson,Theo,New York,Knicks,NYK,G-F,"6'5""",212 lbs,North Carolina,USA,,,,1.0,0.2,0.2,0.1,2018,2020
Plumlee,Mason,Detroit,Pistons,DET,F-C,"6'11""",254 lbs,Duke,USA,2013.0,1.0,22.0,1.0,10.4,9.1,3.9,2013,2020
Poeltl,Jakob,San Antonio,Spurs,SAS,C,"7'1""",245 lbs,Utah,Austria,2016.0,1.0,9.0,1.0,6.5,7.3,1.9,2016,2020
Poirier,Vincent,Philadelphia,76ers,PHI,C-F,"7'0""",235 lbs,Baskonia,France,,,,1.0,0.8,0.9,0.3,2019,2020
Pokusevski,Aleksej,Oklahoma City,Thunder,OKC,C,"7'0""",190 lbs,Olympiacos,Serbia,2020.0,1.0,17.0,1.0,3.9,3.9,1.4,2020,2020
Poole,Jordan,Golden State,Warriors,GSW,G,"6'4""",194 lbs,Michigan,USA,2019.0,1.0,28.0,1.0,7.2,1.4,1.1,2019,2020
Porter Jr.,Kevin,Houston,Rockets,HOU,G-F,"6'4""",203 lbs,Southern California,USA,2019.0,1.0,30.0,1.0,20.0,4.0,9.0,2019,2020
Porter Jr.,Michael,Denver,Nuggets,DEN,F,"6'10""",218 lbs,Missouri,USA,2018.0,1.0,14.0,1.0,15.1,7.1,0.8,2018,2020
Porter Jr.,Otto,Chicago,Bulls,CHI,F,"6'8""",198 lbs,Georgetown,USA,2013.0,1.0,3.0,1.0,10.5,5.9,1.9,2013,2020
Portis,Bobby,Milwaukee,Bucks,MIL,F,"6'10""",250 lbs,Arkansas,USA,2015.0,1.0,22.0,1.0,10.9,7.0,1.1,2015,2020
Porzingis,Kristaps,Dallas,Mavericks,DAL,F-C,"7'3""",240 lbs,Cajasol Sevilla,Latvia,2015.0,1.0,4.0,1.0,20.7,8.5,1.3,2015,2020
Powell,Dwight,Dallas,Mavericks,DAL,F-C,"6'10""",240 lbs,Stanford,Canada,2014.0,2.0,45.0,1.0,4.5,3.5,0.8,2014,2020
Powell,Norman,Toronto,Raptors,TOR,G,"6'3""",215 lbs,UCLA,USA,2015.0,2.0,46.0,1.0,18.7,3.0,1.8,2015,2020
Prince,Taurean,Cleveland,Cavaliers,CLE,F,"6'7""",218 lbs,Baylor,USA,2016.0,1.0,12.0,1.0,8.3,3.6,1.7,2016,2020
Pritchard,Payton,Boston,Celtics,BOS,G,"6'1""",195 lbs,Oregon,USA,2020.0,1.0,26.0,1.0,7.5,2.3,2.3,2020,2020
Quickley,Immanuel,New York,Knicks,NYK,G,"6'3""",190 lbs,Kentucky,USA,2020.0,1.0,25.0,1.0,12.5,2.3,2.4,2020,2020
Ramsey,Jahmi'us,Sacramento,Kings,SAC,G,"6'3""",190 lbs,Texas Tech,USA,2020.0,2.0,43.0,1.0,1.4,0.8,0.2,2020,2020
Randle,Chasson,Orlando,Magic,ORL,G,"6'2""",185 lbs,Stanford,USA,2015.0,,,1.0,5.6,2.0,3.1,2016,2020
Randle,Julius,New York,Knicks,NYK,F-C,"6'8""",250 lbs,Kentucky,USA,2014.0,1.0,7.0,1.0,22.9,11.0,5.7,2014,2020
Reddish,Cam,Atlanta,Hawks,ATL,F-G,"6'8""",218 lbs,Duke,USA,2019.0,1.0,10.0,1.0,11.2,4.0,1.3,2019,2020
Redick,JJ,New Orleans,Pelicans,NOP,G,"6'3""",200 lbs,Duke,USA,2006.0,1.0,11.0,1.0,8.7,1.7,1.3,2006,2020
Reed,Paul,Philadelphia,76ers,PHI,F,"6'9""",210 lbs,DePaul,USA,2020.0,2.0,58.0,1.0,3.6,2.0,0.6,2020,2020
Reid,Naz,Minnesota,Timberwolves,MIN,C-F,"6'9""",264 lbs,Louisiana State,USA,,,,1.0,11.9,4.7,1.3,2019,2020
Richards,Nick,Charlotte,Hornets,CHA,C,"7'0""",245 lbs,Kentucky,Jamaica,2020.0,2.0,42.0,1.0,1.3,0.8,0.0,2020,2020
Richardson,Josh,Dallas,Mavericks,DAL,G,"6'5""",200 lbs,Tennessee,USA,2015.0,2.0,40.0,1.0,13.6,3.2,2.8,2015,2020
Rivers,Austin,New York,Knicks,NYK,G,"6'4""",200 lbs,Duke,USA,2012.0,1.0,10.0,1.0,7.3,2.2,2.0,2012,2020
Roberson,Andre,Oklahoma City,Thunder,OKC,G-F,"6'7""",210 lbs,Colorado,USA,2013.0,1.0,26.0,,1.2,3.0,0.8,2013,2020
Robinson,Duncan,Miami,Heat,MIA,F,"6'7""",215 lbs,Michigan,USA,,,,1.0,12.8,3.9,1.6,2018,2020
Robinson,Jerome,Washington,Wizards,WAS,G,"6'4""",190 lbs,Boston College,USA,2018.0,1.0,13.0,1.0,5.2,2.5,1.4,2018,2020
Robinson,Mitchell,New York,Knicks,NYK,C-F,"7'0""",240 lbs,Western Kentucky,USA,2018.0,2.0,36.0,1.0,8.4,8.4,0.5,2018,2020
Robinson III,Glenn,Philadelphia,76ers,PHI,F,"6'6""",222 lbs,Michigan,USA,2014.0,2.0,40.0,,5.3,2.0,0.9,2014,2020
Roby,Isaiah,Oklahoma City,Thunder,OKC,F,"6'8""",230 lbs,Nebraska-Lincoln,USA,2019.0,2.0,45.0,1.0,8.7,5.3,1.8,2019,2020
Rondo,Rajon,Atlanta,Hawks,ATL,G,"6'1""",180 lbs,Kentucky,USA,2006.0,1.0,21.0,1.0,4.0,2.2,3.4,2006,2020
Rose,Derrick,New York,Knicks,NYK,G,"6'2""",200 lbs,Memphis,USA,2008.0,1.0,1.0,1.0,13.5,2.2,4.5,2008,2020
Ross,Terrence,Orlando,Magic,ORL,G-F,"6'6""",206 lbs,Washington,USA,2012.0,1.0,8.0,1.0,15.5,3.5,2.2,2012,2020
Rozier,Terry,Charlotte,Hornets,CHA,G,"6'1""",190 lbs,Louisville,USA,2015.0,1.0,16.0,1.0,20.3,3.7,3.2,2015,2020
Rubio,Ricky,Minnesota,Timberwolves,MIN,G,"6'3""",190 lbs,FC Barcelona,Spain,2009.0,1.0,5.0,1.0,8.0,3.1,6.5,2011,2020
Russell,D'Angelo,Minnesota,Timberwolves,MIN,G,"6'4""",193 lbs,Ohio State,USA,2015.0,1.0,2.0,1.0,19.3,2.6,5.1,2015,2020
Sabonis,Domantas,Indiana,Pacers,IND,F-C,"6'11""",240 lbs,Gonzaga,Lithuania,2016.0,1.0,11.0,1.0,20.8,11.2,6.2,2016,2020
Samanic,Luka,San Antonio,Spurs,SAS,F,"6'10""",227 lbs,Union Olimpija,Croatia,2019.0,1.0,19.0,1.0,3.8,2.7,0.2,2019,2020
Sampson,JaKarr,Indiana,Pacers,IND,F,"6'7""",214 lbs,St. John's,USA,,,,1.0,2.6,1.9,0.1,2014,2020
Saric,Dario,Phoenix,Suns,PHX,F-C,"6'10""",225 lbs,Anadolu Efes,Croatia,2014.0,1.0,12.0,1.0,11.7,4.1,1.3,2016,2020
Satoransky,Tomas,Chicago,Bulls,CHI,G,"6'7""",210 lbs,FC Barcelona,Czech Republic,2012.0,2.0,32.0,1.0,7.0,2.5,4.4,2016,2020
Schroder,Dennis,Los Angeles,Lakers,LAL,G,"6'3""",172 lbs,Braunschweig,Germany,2013.0,1.0,17.0,1.0,14.8,3.5,4.5,2013,2020
Scott,Mike,Philadelphia,76ers,PHI,F,"6'7""",237 lbs,Virginia,USA,2012.0,2.0,43.0,1.0,4.4,2.7,0.4,2012,2020
Sexton,Collin,Cleveland,Cavaliers,CLE,G,"6'1""",190 lbs,Alabama,USA,2018.0,1.0,8.0,1.0,23.9,2.6,4.3,2018,2020
Shamet,Landry,Brooklyn,Nets,BKN,G,"6'4""",190 lbs,Wichita State,USA,2018.0,1.0,26.0,1.0,8.3,1.9,1.1,2018,2020
Shumpert,Iman,Houston,Rockets,HOU,G,"6'5""",215 lbs,Georgia Tech,USA,2011.0,1.0,17.0,,1.0,0.5,0.0,2011,2020
Siakam,Pascal,Toronto,Raptors,TOR,F,"6'9""",230 lbs,New Mexico State,Cameroon,2016.0,1.0,27.0,1.0,20.1,7.5,4.8,2016,2020
Silva,Chris,Miami,Heat,MIA,F,"6'8""",234 lbs,South Carolina,Gabon,,,,1.0,3.5,3.1,0.8,2019,2020
Simmons,Ben,Philadelphia,76ers,PHI,G-F,"6'11""",240 lbs,Louisiana State,Australia,2016.0,1.0,1.0,1.0,16.1,7.9,7.6,2016,2020
Simons,Anfernee,Portland,Trail Blazers,POR,G,"6'3""",181 lbs,Edgewater HS (FL),USA,2018.0,1.0,24.0,1.0,8.2,2.4,1.4,2018,2020
Sirvydis,Deividas,Detroit,Pistons,DET,F-G,"6'8""",190 lbs,-,Lithuania,2019.0,2.0,37.0,1.0,0.2,0.2,0.2,2020,2020
Smart,Marcus,Boston,Celtics,BOS,G,"6'3""",220 lbs,Oklahoma State,USA,2014.0,1.0,6.0,1.0,13.4,2.7,5.8,2014,2020
Smith,Ish,Washington,Wizards,WAS,G,"6'0""",175 lbs,Wake Forest,USA,,,,1.0,5.2,3.5,4.7,2010,2020
Smith,Jalen,Phoenix,Suns,PHX,F-C,"6'10""",215 lbs,Maryland,USA,2020.0,1.0,10.0,1.0,1.5,1.0,0.2,2020,2020
Smith Jr.,Dennis,Detroit,Pistons,DET,G,"6'2""",205 lbs,North Carolina State,USA,2017.0,1.0,9.0,1.0,7.2,2.7,3.2,2017,2020
Snell,Tony,Atlanta,Hawks,ATL,G,"6'6""",213 lbs,New Mexico,USA,2013.0,1.0,20.0,1.0,5.2,2.2,1.2,2013,2020
Spalding,Ray,Charlotte,Hornets,CHA,F,"6'9""",225 lbs,Louisville,USA,2018.0,2.0,56.0,,2.0,2.0,0.0,2018,2020
Stanley,Cassius,Indiana,Pacers,IND,G,"6'5""",190 lbs,Duke,USA,2020.0,2.0,54.0,1.0,1.1,0.4,0.0,2020,2020
